iata_code,location
WYE,"Yengema Airport, Yengema, Sierra Leone"
BQE,"Bubaque Airport, Bubaque, Guinea-Bissau"
OXB,"Osvaldo Vieira International Airport, Bissau, Guinea-Bissau"
GHE,"Garachiné Airport, Garachiné, Panama"
JGR,"Groennedal Heliport, Groennedal, Greenland"
QCU,"Akunaq Heliport, Greenland"
UCN,"Buchanan Airport, Buchanan, Liberia"
CPA,"Cape Palmas Airport, Harper, Liberia"
SNI,"Greenville Sinoe Airport, Greenville, Liberia"
MLW,"Spriggs Payne Airport, Monrovia, Liberia"
NIA,"Nimba Airport, Nimba, Liberia"
GLP,"Gulgubip Airport, Gulgubip, Papua New Guinea"
ROB,"Roberts International Airport, Monrovia, Liberia"
SAZ,"Sasstown Airport, Sasstown, Liberia"
THC,"Tchien Airport, Tchien, Liberia"
VOI,"Voinjama Airport, Voinjama, Liberia"
AGA,"Al Massira Airport, Agadir, Morocco"
TTA,"Tan Tan Airport, Tan Tan, Morocco"
OZG,"Zagora Airport, Zagora, Morocco"
UAR,"Bouarfa Airport, Bouarfa, Morocco"
FEZ,"Saïss Airport, Fes, Morocco"
ERH,"Moulay Ali Cherif Airport, Errachidia, Morocco"
MEK,"Bassatine Airport, Meknes, Morocco"
OUD,"Angads Airport, Oujda, Morocco"
SMW,"Smara Airport, Smara, Western Sahara"
GMD,"Ben Slimane Airport, Ben Slimane, Morocco"
BEM,"Beni Mellal Airport, Beni Mellal, Morocco"
RBA,"Rabat-Salé Airport, Rabat, Morocco"
SII,"Sidi Ifni Xx Airport, Sidi Ifni, Morocco"
VIL,"Dakhla Airport, Dakhla, Western Sahara"
ESU,"Mogador Airport, Essaouira, Morocco"
EUN,"Hassan I Airport, El Aaiún, Western Sahara"
CMN,"Mohammed V International Airport, Casablanca, Morocco"
SFI,"Safi Airport, Safi, Morocco"
NDR,"Nador International Airport, Nador, Morocco"
RAK,"Menara Airport, Marrakech, Morocco"
NNA,"Kenitra Airport, Morocco"
OZZ,"Ouarzazate Airport, Ouarzazate, Morocco"
GMQ,"Golog Maqin Airport, Golog, China"
AHU,"Cherif Al Idrissi Airport, Al Hoceima, Morocco"
TTU,"Saniat R'mel Airport, Tétouan, Morocco"
TNG,"Ibn Batouta Airport, Tangier, Morocco"
GNU,"Goodnews Airport, Goodnews, United States"
DSS,"Blaise Diagne International Airport, Dakar, Senegal"
GOC,"Gora Airstrip, Gora, Papua New Guinea"
KDA,"Kolda North Airport, Kolda, Senegal"
ZIG,"Ziguinchor Airport, Ziguinchor, Senegal"
CSK,"Cap Skirring Airport, Cap Skirring, Senegal"
KLC,"Kaolack Airport, Kaolack, Senegal"
DKR,"Léopold Sédar Senghor International Airport, Dakar, Senegal"
MAX,"Ouro Sogui Airport, Matam, Senegal"
POD,"Podor Airport, Podor, Senegal"
RDT,"Richard Toll Airport, Richard Toll, Senegal"
XLS,"Saint Louis Airport, Saint Louis, Senegal"
BXE,"Bakel Airport, Bakel, Senegal"
KGG,"Kédougou Airport, Kédougou, Senegal"
SMY,"Simenti Airport, Simenti, Senegal"
TUD,"Tambacounda Airport, Tambacounda, Senegal"
AEO,"Aioun el Atrouss Airport, Aioun El Atrouss, Mauritania"
OTL,"Boutilimit Airport, Boutilimit, Mauritania"
THI,"Tichitt Airport, Tichitt, Mauritania"
TIY,"Tidjikja Airport, Tidjikja, Mauritania"
BGH,"Abbaye Airport, Boghe, Mauritania"
KFA,"Kiffa Airport, Kiffa, Mauritania"
TMD,"Timbedra Airport, Timbedra, Mauritania"
EMN,"Néma Airport, Néma, Mauritania"
AJJ,"Akjoujt Airport, Akjoujt, Mauritania"
KED,"Kaédi Airport, Kaédi, Mauritania"
MOM,"Letfotar Airport, Moudjeria, Mauritania"
NKC,"Nouakchott–Oumtounsy International Airport, Nouakchott, Mauritania"
SEY,"Sélibaby Airport, Sélibaby, Mauritania"
THT,"Tamchakett Airport, Tamchakett, Mauritania"
ATR,"Atar International Airport, Atar, Mauritania"
FGD,"Fderik Airport, Fderik, Mauritania"
NDB,"Nouadhibou International Airport, Nouadhibou, Mauritania"
OUZ,"Tazadit Airport, Zouérate, Mauritania"
GRC,"Grand Cess Airport, Grand Cess, Liberia"
GMT,"Granite Mountain Air Station, Granite Mountain, United States"
CIQ,"Chiquimula Airport, Chiquimula, Guatemala"
DON,"Dos Lagunas Airport, Dos Lagunas, Guatemala"
ENJ,"El Naranjo Airport, El Naranjo, Guatemala"
PCG,"Paso Caballos Airport, Paso Caballos, Guatemala"
TKM,"El Petén Airport, Tikal, Guatemala"
UAX,"Uaxactun Airport, Uaxactun, Guatemala"
PKJ,"Playa Grande Airport, Playa Grande, Guatemala"
GTZ,"Kirawira B Aerodrome, Grumeti Game Reserve, Tanzania"
CKY,"Conakry International Airport, Conakry, Guinea"
GUE,"Guriaso (Keraso) Airport, Guriaso, Papua New Guinea"
FIG,"Fria Airport, Fria, Guinea"
FAA,"Faranah Airport, Faranah, Guinea"
KSI,"Kissidougou Airport, Kissidougou, Guinea"
LEK,"Tata Airport, Labé, Guinea"
MCA,"Macenta Airport, Macenta, Guinea"
NZE,"Nzérékoré Airport, Nzérékoré, Guinea"
BKJ,"Boké Baralande Airport, Boké, Guinea"
SBI,"Sambailo Airport, Koundara, Guinea"
GII,"Siguiri Airport, Siguiri, Guinea"
KNN,"Kankan Airport, Kankan, Guinea"
SID,"Amílcar Cabral International Airport, Espargos, Cape Verde"
NTO,"Agostinho Neto Airport, Ponta do Sol, Cape Verde"
BVC,"Rabil Airport, Rabil, Cape Verde"
GVE,"Gordonsville Municipal Airport, Gordonsville, United States"
MMO,"Maio Airport, Vila do Maio, Cape Verde"
MTI,"Mosteiros Airport, Vila do Mosteiros, Cape Verde"
RAI,"Praia International Airport, Praia, Cape Verde"
SFL,"São Filipe Airport, São Filipe, Cape Verde"
SNE,"Preguiça Airport, Preguiça, Cape Verde"
VXE,"São Pedro Airport, São Pedro, Cape Verde"
BCG,"Bemichi Airport, Bemichi, Guyana"
BTO,"Botopasi Airport, Botopasi, Suriname"
DOE,"Djumu-Djomoe Airport, Djumu-Djomoe, Suriname"
LDO,"Ladouanie Airport, Aurora, Suriname"
WSO,"Washabo Airport, Washabo, Suriname"
ADD,"Addis Ababa Bole International Airport, Addis Ababa, Ethiopia"
AMH,"Arba Minch Airport, Ethiopia"
AXU,"Axum Airport, Ethiopia"
BCO,"Baco Airport, Baco, Ethiopia"
BJR,"Bahir Dar Airport, Bahir Dar, Ethiopia"
BEI,"Beica Airport, Beica, Ethiopia"
DSE,"Combolcha Airport, Dessie, Ethiopia"
DEM,"Dembidollo Airport, Dembidollo, Ethiopia"
DBM,"Debra Marcos Airport, Debra Marcos, Ethiopia"
DIR,"Aba Tenna Dejazmach Yilma International Airport, Dire Dawa, Ethiopia"
DBT,"Debre Tabor Airport, Debre Tabor, Ethiopia"
FNH,"Fincha Airport, Fincha, Ethiopia"
GOB,"Robe Airport, Goba, Ethiopia"
GNN,"Ghinnir Airport, Ghinnir, Ethiopia"
GMB,"Gambella Airport, Gambela, Ethiopia"
GDQ,"Gonder Airport, Gondar, Ethiopia"
GDE,"Gode Airport, Gode, Ethiopia"
GOR,"Gore Airport, Gore, Ethiopia"
QHR,"Harar Meda Airport, Debre Zeyit, Ethiopia"
HUE,"Humera Airport, Humera, Ethiopia"
JIJ,"Wilwal International Airport, Jijiga, Ethiopia"
JIM,"Jimma Airport, Jimma, Ethiopia"
ABK,"Kabri Dehar Airport, Kabri Dehar, Ethiopia"
LFO,"Kelafo East Airport, Kelafo, Ethiopia"
AWA,"Awassa Airport, Awassa, Ethiopia"
LLI,"Lalibella Airport, Lalibela, Ethiopia"
MKS,"Mekane Selam Airport, Mekane Selam, Ethiopia"
MQX,"Mekele Airport, Ethiopia"
ETE,"Metema Airport, Metema, Ethiopia"
NDM,"Mendi Airport, Mendi, Ethiopia"
MUJ,"Mui River Airport, Omo National Park, Ethiopia"
MTF,"Mizan Teferi Airport, Mizan Teferi, Ethiopia"
EGL,"Negele Airport, Negele Borana, Ethiopia"
NEJ,"Nejjo Airport, Nejjo, Ethiopia"
NEK,"Nekemte Airport, Nekemte, Ethiopia"
PWI,"Beles Airport, Pawe, Ethiopia"
SXU,"Soddu Airport, Soddu, Ethiopia"
SKR,"Shakiso Airport, Shakiso, Ethiopia"
SZE,"Semera Airport, Semera, Ethiopia"
ASO,"Asosa Airport, Asosa, Ethiopia"
TIE,"Tippi Airport, Tippi, Ethiopia"
WAC,"Waca Airport, Waca, Ethiopia"
WRA,"Warder Airport, Warder, Ethiopia"
HAY,"Haycock Airport, Haycock, United States"
HAZ,"Hatzfeldhaven Airport, Hatzfeldhaven, Papua New Guinea"
BJM,"Bujumbura International Airport, Bujumbura, Burundi"
GID,"Gitega Airport, Gitega, Burundi"
KRE,"Kirundo Airport, Kirundo, Burundi"
HBT,"Hambantota Seaplane Base, Hambantota, Sri Lanka"
ALU,"Alula Airport, Alula, Somalia"
BIB,"Baidoa Airport, Baidoa, Somalia"
CXN,"Candala Airport, Candala, Somalia"
BSY,"Bardera Airport, Somalia"
HCM,"Eil Airport, Eyl, Somalia"
BSA,"Bosaso Airport, Bosaso, Somalia"
GSR,"Gardo Airport, Gardo, Somalia"
HGA,"Egal International Airport, Hargeisa, Somalia"
BBO,"Berbera Airport, Berbera, Somalia"
LGX,"Lugh Ganane Airport, Luuq, Somalia"
KMU,"Kisimayu Airport, Somalia"
MGQ,"Aden Adde International Airport, Mogadishu, Somalia"
BLW,"Beletwene Airport, Beledweyne, Somalia"
CMO,"Obbia Airport, Obbia, Somalia"
GLK,"Galcaio Airport, Galcaio, Somalia"
CMS,"Scusciuban Airport, Scusciuban, Somalia"
ERA,"Erigavo Airport, Erigavo, Somalia"
BUO,"Burao Airport, Burao, Somalia"
GGR,"Garowe Airport, Garowe, Somalia"
JIB,"Djibouti-Ambouli Airport, Djibouti City, Djibouti"
AII,"Ali-Sabieh Airport, Ali-Sabieh, Djibouti"
MHI,"Moucha Airport, Moucha Island, Djibouti"
OBC,"Obock Airport, Obock, Djibouti"
TDJ,"Tadjoura Airport, Tadjoura, Djibouti"
CCE,"Capital International Airport, Egypt"
SEW,"Siwa Oasis North Airport, Siwa, Egypt"
EMY,"El Minya Airport, Minya, Egypt"
SQK,"Sidi Barrani Airport, Sidi Barrani, Egypt"
DBB,"El Alamein International Airport, El Alamein, Egypt"
AAC,"El Arish International Airport, El Arish, Egypt"
ATZ,"Assiut International Airport, Assiut, Egypt"
ALY,"El Nouzha Airport, Alexandria, Egypt"
HBE,"Borg El Arab International Airport, Alexandria, Egypt"
ABS,"Abu Simbel Airport, Abu Simbel, Egypt"
CAI,"Cairo International Airport, Cairo, Egypt"
CWE,"Cairo West Airport, El Cairo, Egypt"
DAK,"Dakhla Airport, Egypt"
HRG,"Hurghada International Airport, Hurghada, Egypt"
EGH,"El Gora Airport, El Gora, Egypt"
UVL,"El Kharga Airport, Egypt"
LXR,"Luxor International Airport, Luxor, Egypt"
RMF,"Marsa Alam International Airport, Marsa Alam, Egypt"
HMB,"Sohag International Airport, Sohag, Egypt"
MUH,"Mersa Matruh Airport, Mersa Matruh, Egypt"
HEO,"Haelogo Airport, Haelogo, Papua New Guinea"
GSQ,"Shark El Oweinat International Airport, Egypt"
PSD,"Port Said Airport, Port Said, Egypt"
SKV,"St Catherine International Airport, Egypt"
SSH,"Sharm El Sheikh International Airport, Sharm el-Sheikh, Egypt"
ASW,"Aswan International Airport, Aswan, Egypt"
TCP,"Taba International Airport, Taba, Egypt"
ELT,"El Tor Airport, Egypt"
HEY,"Hanchey Army (Fort Rucker) Heliport, Fort Rucker Ozark, United States"
HGT,"Tusi AHP (Hunter Liggett) Heliport, Fort Hunter Ligget Jolon, United States"
ASM,"Asmara International Airport, Asmara, Eritrea"
MSW,"Massawa International Airport, Massawa, Eritrea"
ASA,"Assab International Airport, Asab, Eritrea"
TES,"Tessenei Airport, Tessenei, Eritrea"
HPV,"Princeville Airport, Hanalei, United States"
WKL,"Waikoloa Heliport, Waikoloa Village, United States"
HIA,"Lianshui Airport, Huai'an, China"
HIL,"Shilavo Airport, Shilavo, Ethiopia"
ASV,"Amboseli Airport, Amboseli National Park, Kenya"
HKB,"Healy Lake Airport, Healy Lake, United States"
EDL,"Eldoret International Airport, Eldoret, Kenya"
EYS,"Eliye Springs Airport, Eliye Springs, Kenya"
KLK,"Kalokol Airport, Kalokol, Kenya"
GAS,"Garissa Airport, Garissa, Kenya"
HOA,"Hola Airport, Hola, Kenya"
NBO,"Jomo Kenyatta International Airport, Nairobi, Kenya"
GGM,"Kakamega Airport, Kakamega, Kenya"
KIS,"Kisumu Airport, Kisumu, Kenya"
ILU,"Kilaguni Airport, Kilaguni, Kenya"
KEY,"Kericho Airport, Kericho, Kenya"
KTL,"Kitale Airport, Kitale, Kenya"
LKG,"Lokichoggio Airport, Lokichoggio, Kenya"
LOK,"Lodwar Airport, Lodwar, Kenya"
LAU,"Manda Airstrip, Lamu, Kenya"
LOY,"Loyengalani Airport, Loyengalani, Kenya"
NDE,"Mandera Airport, Mandera, Kenya"
RBT,"Marsabit Airport, Marsabit, Kenya"
MYD,"Malindi Airport, Malindi, Kenya"
MBA,"Mombasa Moi International Airport, Mombasa, Kenya"
MRE,"Mara Serena Lodge Airstrip, Masai Mara, Kenya"
OYL,"Moyale Airport, Moyale (Lower), Kenya"
NYE,"Nyeri Airport, Nyeri, Kenya"
NUU,"Nakuru Airport, Nakuru, Kenya"
WIL,"Nairobi Wilson Airport, Nairobi, Kenya"
NYK,"Nanyuki Airport, Nanyuki, Kenya"
UAS,"Buffalo Spring, Samburu, Kenya"
UKA,"Ukunda Airstrip, Ukunda, Kenya"
WJR,"Wajir Airport, Wajir, Kenya"
SRX,"Gardabya Airport, Sirt, Libya"
TOB,"Gamal Abdel Nasser Airport, Tobruk, Libya"
GHT,"Ghat Airport, Ghat, Libya"
AKF,"Kufra Airport, Kufra, Libya"
BEN,"Benina International Airport, Benghazi, Libya"
MJI,"Mitiga Airport, Tripoli, Libya"
LAQ,"La Abraq Airport, Al Bayda', Libya"
SEB,"Sabha Airport, Sabha, Libya"
TIP,"Tripoli International Airport, Tripoli, Libya"
LMQ,"Marsa Brega Airport, Libya"
HUQ,"Hon Airport, Libya"
LTD,"Ghadames East Airport, Ghadames, Libya"
ZIS,"Alzintan Airport, Zintan, Libya"
WAX,"Zwara Airport, Zuwara, Libya"
EDQ,"Erandique Airport, Erandique, Honduras"
HNE,"Tahneta Pass Airport, Tahneta Pass Lodge, United States"
HOO,"Nhon Co Airfield, Quang Duc, Vietnam"
HRC,"Sary Su Airport, Zhayrem, Kazakhstan"
GYI,"Gisenyi Airport, Gisenyi, Rwanda"
BTQ,"Butare Airport, Butare, Rwanda"
KGL,"Kigali International Airport, Kigali, Rwanda"
RHG,"Ruhengeri Airport, Ruhengeri, Rwanda"
KME,"Kamembe Airport, Kamembe, Rwanda"
ATB,"Atbara Airport, Atbara, Sudan"
EDB,"El Debba Airport, El Debba, Sudan"
DOG,"Dongola Airport, Dongola, Sudan"
RSS,"Damazin Airport, Ad Damazin, Sudan"
HGI,"Paloich Airport, Heliport, Higleig, South Sudan"
ELF,"El Fasher Airport, El Fasher, Sudan"
GSU,"Azaza Airport, Gedaref, Sudan"
DNX,"Galegu Airport, Dinder, Sudan"
EGN,"Geneina Airport, Geneina, Sudan"
HEG,"Heglig Airport, Heglig Oilfield, Sudan"
HSJ,"Shangjie Airport, Zhengzhou, China"
KSL,"Kassala Airport, Kassala, Sudan"
GBU,"Khashm El Girba Airport, Khashm El Girba, Sudan"
KST,"Kosti Airport, Kosti, Sudan"
KDX,"Kadugli Airport, Kadugli, Sudan"
RBX,"Rumbek Airport, Rumbek, South Sudan"
MWE,"Merowe New Airport, Merowe, Sudan"
NUD,"En Nahud Airport, En Nahud, Sudan"
UYL,"Nyala Airport, Nyala, Sudan"
NHF,"New Halfa Airport, New Halfa, Sudan"
EBD,"El Obeid Airport, Al-Ubayyid, Sudan"
PZU,"Port Sudan New International Airport, Port Sudan, Sudan"
JUB,"Juba International Airport, Juba, South Sudan"
MAK,"Malakal Airport, Malakal, South Sudan"
KRT,"Khartoum International Airport, Khartoum, Sudan"
WHF,"Wadi Halfa Airport, Wadi Halfa, Sudan"
DNI,"Wad Medani Airport, Wad Medani, Sudan"
WUU,"Wau Airport, Wau, South Sudan"
ZLX,"Zalingei Airport, Zalingei, Sudan"
ARK,"Arusha Airport, Arusha, Tanzania"
BKZ,"Bukoba Airport, Bukoba, Tanzania"
DAR,"Julius Nyerere International Airport, Dar es Salaam, Tanzania"
DOD,"Dodoma Airport, Dodoma, Tanzania"
MBI,"Songwe Airport, Mbeya, Tanzania"
IRI,"Iringa Airport, Nduli, Tanzania"
TKQ,"Kigoma Airport, Kigoma, Tanzania"
KIY,"Kilwa Masoko Airport, Kilwa Masoko, Tanzania"
JRO,"Kilimanjaro International Airport, Arusha, Tanzania"
LDI,"Lindi Airport, Lindi, Tanzania"
LKY,"Lake Manyara Airport, Lake Manyara National Park, Tanzania"
HTM,"Khatgal Airport, Hatgal, Mongolia"
MFA,"Mafia Island Airport, Mafia Island, Tanzania"
MWN,"Mwadui Airport, Mwadui, Tanzania"
XMI,"Masasi Airport, Masasi, Tanzania"
QSI,"Moshi Airport, Moshi, Tanzania"
MYW,"Mtwara Airport, Mtwara, Tanzania"
MUZ,"Musoma Airport, Musoma, Tanzania"
MWZ,"Mwanza Airport, Mwanza, Tanzania"
NCH,"Nachingwea Airport, Nachingwea, Tanzania"
JOM,"Njombe Airport, Njombe, Tanzania"
PMA,"Pemba Airport, Chake, Tanzania"
SEU,"Seronera Airport, Seronera, Tanzania"
SGX,"Songea Airport, Songea, Tanzania"
SUT,"Sumbawanga Airport, Sumbawanga, Tanzania"
SHY,"Shinyanga Airport, Shinyanga, Tanzania"
TBO,"Tabora Airport, Tabora, Tanzania"
TGT,"Tanga Airport, Tanga, Tanzania"
ZNZ,"Abeid Amani Karume International Airport, Zanzibar, Tanzania"
RUA,"Arua Airport, Arua, Uganda"
EBB,"Entebbe International Airport, Kampala, Uganda"
ULU,"Gulu Airport, Gulu, Uganda"
JIN,"Jinja Airport, Jinja, Uganda"
PAF,"Pakuba Airfield, Kabalega Falls, Uganda"
KSE,"Kasese Airport, Kasese, Uganda"
MBQ,"Mbarara Airport, Mbarara, Uganda"
KCU,"Masindi Airport, Masindi, Uganda"
SRT,"Soroti Airport, Soroti, Uganda"
TRY,"Tororo Airport, Tororo, Uganda"
HWA,"Hawabango Airport, Hawabango, Papua New Guinea"
HYL,"Hollis Clark Bay Seaplane Base, Hollis, United States"
IBI,"Iboki Airport, Iboki, Papua New Guinea"
IBL,"Indigo Bay Lodge Airport, Bazaruto Island, Mozambique"
ICO,"Sicogon Airstrip, Sicogon Island, Philippines"
PPJ,"Pulau Panjang Airport, Jakarta, Indonesia"
JBB,"Noto Hadinegoro, Jember Airport, Jember, Indonesia"
BWX,"Blimbingsari Airport, Banyuwangi, Indonesia"
BXW,"Bawean Airport, Bawean, Indonesia"
AAS,"Apalapsili Airport, Apalapsili, Indonesia"
AGD,"Anggi Airport, Anggi-Papua Island, Indonesia"
AKQ,"Gunung Batin Airport, Astraksetra-Sumatra Island, Indonesia"
AYW,"Ayawasi Airport, Ayawasi-Papua Island, Indonesia"
BJG,"Boalang Airport, Boalang-Celebes Island, Indonesia"
BXM,"Batom Airport, Batom-Papua Island, Indonesia"
DRH,"Dabra Airport, Dabra-Papua Island, Indonesia"
ELR,"Elelim Airport, Elelim-Papua Island, Indonesia"
EWE,"Ewer Airport, Asmat, Indonesia"
FOO,"Kornasoren Airfield, Kornasoren-Numfoor Island, Indonesia"
GAV,"Gag Island Airport, Gag Island, Indonesia"
IUL,"Ilu Airport, Ilu-Papua Island, Indonesia"
KBF,"Karubaga Airport, Karubaga-Papua Island, Indonesia"
KBX,"Kambuaya Airport, Kambuaya-Papua Island, Indonesia"
KCD,"Kamur Airport, Kamur-Papua Island, Indonesia"
KCI,"Kon Airport, Kon, Timor-Leste"
KEA,"Keisah Airport, Keisah-Papua Island, Indonesia"
KMM,"Kiman Airport, Kiman-Papua Island, Indonesia"
KOD,"Kotabangun Airport, Kotabangun-Borneo Island, Indonesia"
KRC,"Departi Parbo Airport, Sungai Penuh, Indonesia"
KWB,"Dewadaru Airport, Karimunjawa-Karimunjawa Island, Indonesia"
LLN,"Kelila Airport, Kelila-Papua Island, Indonesia"
LWE,"Lewoleba Airport, Lewoleba-Lembata Island, Indonesia"
LYK,"Lunyuk Airport, Lunyuk-Simbawa Island, Indonesia"
MJY,"Mangunjaya Airport, Mangungaya-Sumatra Island, Indonesia"
MPT,"Maliana airport, Maliana-Alor Island, Indonesia"
MSI,"Masalembo Airport, Masalembo Island, Indonesia"
MUF,"Muting Airport, Muting, Indonesia"
NAF,"Banaina Airport, Banaina-Borneo Island, Indonesia"
OBD,"Obano Airport, Obano-Papua Island, Indonesia"
PUM,"Pomala Airport, Kolaka, Indonesia"
PWL,"Purwokerto Airport, Purwokerto-Java Island, Indonesia"
RAQ,"Sugimanuru Airport, Raha-Muna Island, Indonesia"
RKI,"Rokot Airport, Rokot-Sumatra Island, Indonesia"
RTI,"Roti Airport, Roti-Rote Island, Indonesia"
RUF,"Yuruf Airport, Amgotro, Indonesia"
RZS,"Sawan Airport, Sawan-Bali Island, Indonesia"
SAE,"Sangir Airport, Sangir-Simbawa Island, Indonesia"
TBM,"Tumbang Samba Airport, Tumbang Samba-Borneo Island, Indonesia"
TMY,"Tiom Airport, Tiom-Papua Island, Indonesia"
ZEG,"Senggo Airport, Senggo-Papua Island, Indonesia"
UGU,"Bilogai-Sugapa Airport, Sugapa-Papua Island, Indonesia"
IDN,"Indagen Airport, Indagen, Papua New Guinea"
IMA,"Iamalele Airport, Iamalele, Fergusson Island, Papua New Guinea"
IMG,"Inhaminga Airport, Inhaminga, Mozambique"
VDY,"Vijayanagar Aerodrome (JSW), India"
JGB,"Jagdalpur Airport, Jagdalpur, India"
NVY,"Neyveli Airport, Neyveli, India"
RJI,"Rajouri Airport, Rajouri, India"
TEI,"Tezu Airport, Tezu, India"
INE,"Chinde Airport, Chinde, Mozambique"
IOK,"Iokea Airport, Iokea, Papua New Guinea"
IOP,"Ioma Airport, Ioma, Papua New Guinea"
KHA,"Khaneh Airport, Khaneh, Iran"
GSM,"Qeshm International Airport, Qeshm, Iran"
IRU,"Iranamadu Seaplane Base, Iranamadu, Sri Lanka"
ISG,"New Ishigaki Airport, Ishigaki, Japan"
TQR,"San Domino Island Heliport, Tremiti Islands, Italy"
ITK,"Itokama Airport, Itokama, Papua New Guinea"
IVI,"Viveros Island Airport, Isla Viveros, Panama"
JGD,"Jiagedaqi Airport, Jiagedaqi, China"
JIC,"Jinchuan Airport, Jinchang, China"
JIO,"Jos Orno Imsula Airport, Tiakur, Indonesia"
JIQ,"Qianjiang Wulingshan Airport, Qianjiang, China"
JJD,"Comandante Ariston Pessoa Airport, Jijoca de Jericoacoara, Brazil"
JLA,"Quartz Creek Airport, Cooper Landing, United States"
JNB,"O R Tambo International, Johannesburg, South Africa"
JOP,"Josephstaal Airport, Josephstaal, Papua New Guinea"
JPN,"Pentagon Army Heliport, Washington, United States"
JRA,"West 30th St. Heliport, New York, United States"
JRB,"Downtown-Manhattan/Wall St Heliport, New York, United States"
JUH,"Jiuhuashan Airport, Chizhou, China"
AMK,"Animas Air Park, Durango, United States"
BDX,"Broadus Airport, Broadus, United States"
EUE,"Eureka Airport, Eureka, United States"
KPT,"Jackpot Airport/Hayden Field, Jackpot, United States"
RLA,"Rolla Downtown Airport, Rolla, United States"
FID,"Elizabeth Field, Fishers Island, United States"
HUD,"Humboldt Municipal Airport, Humboldt, United States"
TWD,"Jefferson County International Airport, Port Townsend, United States"
MVM,"Kayenta Airport, Kayenta, United States"
HCC,"Columbia County Airport, Hudson, United States"
AHD,"Ardmore Downtown Executive Airport, Ardmore, United States"
GCW,"Grand Canyon West Airport, Peach Springs, United States"
CKE,"Lampson Field, Lakeport, United States"
ROF,"Montague-Yreka Rohrer Field, Montague, United States"
CNE,"Fremont County Airport, Cañon City, United States"
RSX,"Rouses Point Seaplane Base, Rouses Point, United States"
COP,"Cooperstown-Westville Airport, Cooperstown, United States"
CIL,"Council Airport, Council, United States"
IRB,"Iraan Municipal Airport, Iraan, United States"
GNF,"Gansner Field, Quincy, United States"
CHZ,"Chiloquin State Airport, Chiloquin, United States"
LTW,"St. Mary's County Regional Airport, Leonardtown, United States"
AHF,"Arapahoe Municipal Airport, Arapahoe, United States"
PCT,"Princeton Airport, Princeton/Rocky Hill, United States"
CTO,"Calverton Executive Airpark, Calverton, United States"
NRI,"Grand Lake Regional Airport, Afton, United States"
GTP,"Grants Pass Airport, Grants Pass, United States"
NLE,"Jerry Tyler Memorial Airport, Niles, United States"
GCD,"Grand Coulee Dam Airport, Electric City, United States"
VLE,"Valle Airport, Grand Canyon, United States"
FPY,"Perry-Foley Airport, Perry, United States"
NTJ,"Manti-Ephraim Airport, Manti, United States"
SBO,"Salina Gunnison Airport, Salina, United States"
JVI,"Central Jersey Regional Airport, Manville, United States"
UCE,"Eunice Airport, Eunice, United States"
GOL,"Gold Beach Municipal Airport, Gold Beach, United States"
KKT,"Kentland Municipal Airport, Kentland, United States"
PRW,"Prentice Airport, Prentice, United States"
EGP,"Maverick County Memorial International Airport, Eagle Pass, United States"
BLD,"Boulder City Municipal Airport, Boulder City, United States"
MFH,"Mesquite Airport, Mesquite, United States"
ECA,"Iosco County Airport, East Tawas, United States"
FMU,"Florence Municipal Airport, Florence, United States"
OTS,"Anacortes Airport, Anacortes, United States"
ROL,"Roosevelt Municipal Airport, Roosevelt, United States"
CTK,"Canton Municipal Airport, Canton, United States"
WPO,"North Fork Valley Airport, Paonia, United States"
ATE,"Antlers Municipal Airport, Antlers, United States"
QWG,"Wilgrove Air Park, Charlotte, United States"
ASQ,"Austin Airport, Austin, United States"
AAF,"Apalachicola Regional Airport, Apalachicola, United States"
ABE,"Lehigh Valley International Airport, Allentown, United States"
ABI,"Abilene Regional Airport, Abilene, United States"
ABQ,"Albuquerque International Sunport, Albuquerque, United States"
ABR,"Aberdeen Regional Airport, Aberdeen, United States"
ABY,"Southwest Georgia Regional Airport, Albany, United States"
ACB,"Antrim County Airport, Bellaire, United States"
ACK,"Nantucket Memorial Airport, Nantucket, United States"
ACT,"Waco Regional Airport, Waco, United States"
ACV,"California Redwood Coast-Humboldt County Airport, Arcata/Eureka, United States"
ACY,"Atlantic City International Airport, Atlantic City, United States"
ADG,"Lenawee County Airport, Adrian, United States"
ADT,"Ada Regional Airport, Ada, United States"
ADM,"Ardmore Municipal Airport, Ardmore, United States"
ADS,"Addison Airport, Dallas, United States"
ADW,"Joint Base Andrews, Camp Springs, United States"
KAE,"Kake Seaplane Base, Kake, United States"
AEL,"Albert Lea Municipal Airport, Albert Lea, United States"
AEX,"Alexandria International Airport, Alexandria, United States"
KAF,"Karato Airport, Karato, Papua New Guinea"
AFF,"USAF Academy Airfield, Colorado Springs, United States"
WSG,"Washington County Airport, Washington, United States"
AFN,"Jaffrey Airport Silver Ranch Airport, Jaffrey, United States"
AFO,"Afton Municipal Airport, Afton, United States"
AFW,"Fort Worth Alliance Airport, Fort Worth, United States"
AGC,"Allegheny County Airport, Pittsburgh, United States"
AGO,"Ralph C Weiser Field, Magnolia, United States"
AGS,"Augusta Regional At Bush Field, Augusta, United States"
AHC,"Amedee Army Air Field, Herlong, United States"
AHH,"Amery Municipal Airport, Amery, United States"
AHN,"Athens Ben Epps Airport, Athens, United States"
AIA,"Alliance Municipal Airport, Alliance, United States"
AID,"Anderson Municipal Darlington Field, Anderson, United States"
